,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                  TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                      SECOND YEAR A,,,,2ND YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2ND YEAR -A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,               SECOND YEAR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BRANCH,,ELECTRONICS IND122UMENTATION ENGG,,,,,,,,ELECTRICAL  ENGG,,,,,,,,ELECTRICAL AND COMPUTER ENGG,,,,,,,,,,MECHANICAL ENGG,,,,,,MECHANICAL ENGG,,,,,,ROBOTICS AND AI,,,,,,,,MECHATRONICS ENGG,,,,,,,,CHEMICAL ENGG,,,,BIOTECHNOLOGY ENGG,,,,,,,,BIOMEDICAL ENGG,,CIVIL WITH COMPUTER APPLICATION,,CIVIL ENGG,,,,,,ELECTRONICS AND COMMUNICATION ENGG,,,,,,,,,,,,ELECTRONICS AND COMMUNICATION ENGG,,,,,,ELECTRONICS ENGG(VLSI DESGIN),,,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,,,ELECTRONICS AND COMPUTER ENGG,,,,,,,,,,BRANCH,
,,LECTURE,,2E1,,,,,,,,2D1,,,,,,,,2S1,,,,,,,,,,2H1,,,,,,2H2,,,,,,2W1,,,,,,,,2I1,,,,,,,,2A1,,,,2G1,,,,,,,,2J1,,2U1,,2B1,,,,,,2F1,,,,,,2F2,,,,,,2F3,,,,,,2V1,,,,,,,,2O1,,,,,,,,,,2O2,,,,,,,,,,2O3,,,,,,,,,,LECTURE,
,,TUTORIAL,,2E11,,2E12,,2E13,,2E14,,2D11,,2D12,,2D13,,2D14,,2S11,,2S12,,2S13,,2S14,,2S15,,2H11,,2H12,,2H13,,2H21,,2H22,,2H23,,2W11,,2W12,,2W13,,2W14,,2I11,,2I12,,2I13,,2I14,,2A11,,2A12,,2G11,,2G12,,2G13,,2G14,,2J11,,2U11,,2B11,,2B12,,2B13,,2F11,,2F12,,2F13,,2F21,,2F22,,2F23,,2F31,,2F32,,2F33,,2V11,,2V12,,2V13,,2V14,,2O11,,2O12,,2O13,,2O14,,2O15,,2O21,,2O22,,2O23,,2O24,,2O25,,2O31,,2O32,,2O33,,2O34,,,,TUTORIAL,
DAY,SR.NO,PRACTICAL,HOURS,2E1A,,2E1B,,2E1C,,2E1D,,2D1A,,2D1B,,2D1C,,2D1D,,2S1A,,2S1B,,2S1C,,2S1D,,2S1E,,2H1A,,2H1B,,2H1C,,2H2A,,2H2B,,2H2C,,2W1A,,2W1B,,2W1C,,2W1D,,2I1A,,2I1B,,2I1C,,2I1D,,2A1A,,2A1B,,2G1A,,2G1B,,2G1C,,2G1D,,2J1A,,2U1A,,2B1A,,2B1B,,2B1C,,2F1A,,2F1B,,2F1C,,2F2A,,2F2B,,2F2C,,2F3A,,2F3B,,2F3C,,2V1A,,2V1B,,2V1C,,2V1D,,2O1A,,2O1B,,2O1C,,2O1D,,2O1E,,2O2A,,2O2B,,2O2C,,2O2D,,2O2E,,2O3A,,2O3B,,2O3C,,2O3D,,DAY,SR.NO,PRACTICAL,HOURS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,8:00 AM,,,,,,,,,,,,,,,,,,,UES301P,,,,,,,,BEST-EEL,,,,,,,,,,UMA034P,,UMT404P,,UMT404P,,,,,,,,,,,,,,,,,,,,,,,,,,UBM031P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UVD301P,,,,,,,,,,,,,,,,UEC304P,,,,,,,,,,,,,,,1,,8:00 AM
M,,,,,,,,,,,,,,,,,,,,,,ANALOG(B211),,,,,,,,F102,,,,,SVG,,,,,NEW(G309),,CAD-1,,L101,,,,,,,,,,,,,,,,,,,,,,,,,,EE2(H222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B105,,,,,,,,,,,,,,,,C334,,,,,,,,,,,,,,M,,,
,2,,8:50 AM,UMA302L,,,,,,,,,,,,,,,,,,LAB,,,,,,,,BEST-EDL,,,,,,,,,,LAB,,LAB,,LAB,,,,,,UCS321L,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,UES012T,,,,,,,,,,,,,,,,LAB,,UNC501L,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,2,,8:50 AM
