,,,,,,,,,,,,,,,,                                                                      TIME TABLE JULY TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,SECOND YEAR -B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BRANCH,,COMPUTER ENGG,,,,,,,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COMPUTER ENGG,,,,,,,,,,COE LEET STUDENTS,,,,COPC LEET ,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,,,,,,,,,,,,,COMPUTER SCIENCE AND ENGG,,,,,,,,,,AI AND MACHINE LEARNING,,,,,,,,AI AND MACHINE LEARNING,,,,,,,,,,COMPUTER SCIENCE AND BUSINESS SYSTEMS,,,,,,,,,
,,LECTURE,,2C1,,,,,,,,,,,,,,,,2C2,,,,,,,,,,2C3,,,,,,,,,,2C4,,,,,,,,,,2C5,,,,,,,,,,2C6,,,,,,,,,,2C7,,,,,,,,,,2C8,,,,,,,,,,,,,,2Q1,,,,,,,,,,2Q2,,,,,,,,,,2Q3,,,,,,,,,,2X1,,,,,,,,2X2,,,,,,,,,,2R1,,,,,,,,,
,,TUTORIAL,,2C11,,2C12,,2C13,,2C14,,2C15,,2C16,,2C17,,2C18,,2C21,,2C22,,2C23,,2C24,,2C25,,2C31,,2C32,,2C33,,2C34,,2C35,,2C41,,2C42,,2C43,,2C44,,2C45,,2C51,,2C52,,2C53,,2C54,,2C55,,2C61,,2C62,,2C63,,2C64,,2C65,,2C71,,2C72,,2C73,,2C74,,2C75,,2C81,,2C82,,2Q41,,2Q42,,,,,,,,2Q11,,2Q12,,2Q13,,2Q14,,2Q15,,2Q21,,2Q22,,2Q23,,2Q24,,2Q25,,2Q31,,2Q32,,2Q33,,2Q34,,2Q35,,2X11,,2X12,,2X13,,2X14,,2X21,,2X22,,2X23,,2X24,,2X25,,2R11,,2R12,,2R13,,,,,
DAY,SR NO,PRACTICAL,HOURS,2C1A,,2C1B,,2C1C,,2C1D,,2C1E,,2C1F,,2C1G,,2C1H,,2C2A,,2C2B,,2C2C,,2C2D,,2C2E,,2C3A,,2C3B,,2C3C,,2C3D,,2C3E,,2C4A,,2C4B,,2C4C,,2C4D,,2C4E,,2C5A,,2C5B,,2C5C,,2C5D,,2C5E,,2C6A,,2C6B,,2C6C,,2C6D,,2C6E,,2C7A,,2C7B,,2C7C,,2C7D,,2C7E,,2C8A,,2C8B,,2Q4A,,2Q4B,,2 UOQ,,2 UNSW,,2 TCD,,2Q1A,,2Q1B,,2Q1C,,2Q1D,,2Q1E,,2Q2A,,2Q2B,,2Q2C,,2Q2D,,2Q2E,,2Q3A,,2Q3B,,2Q3C,,2Q3D,,2Q3E,,2X1A,,2X1B,,2X1C,,2X1D,,2X2A,,2X2B,,2X2C,,2X2D,,2X2E,,2R1A,,2R1B,,2R1C,,DAY,SR NO,HOURS,DAY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,8:00 AM,,,,,,,,,,,,,,,,,UTA016P,,UTA018P,,UCS303P,,,,,,UCS301L,,,,,,,,,,,,UTA016 P,,,,,,,,,,,,,,,,,,UMA021P,,UTA018P,,UMA021P,,UCS301P,,UTA016P,,UTA018L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS301P,,UCS303L,,,,,,,,,,,,UMA021P,,,,,,,,UCS303P,,UCS303P,,UCS301P,,,,,,,,,,,,,,,,,,,,,1,8:00 AM,
M,,,,,,,,,,,,,,,,,,,,F314/B204,,PL-4(L011),,DBMS2(L207),,,,,,LT301,,,,,,,,,KAP,,,B204/F314,,,,,,,,,,,,,,,,,,NA-1(G203),,PL-5(L208),,NA-2(G204),,DS-1(L004),,C212/F315,,LT302,,,,,,,,,SBH,,,,,,,,,,,,,,,,,,,,,,,DS-2(L005),,LT303,,,,,,,,,JDN,,,FIST(G307),,,,,,,,SS-1(L201),,SS-2(L202),,L003,,,,,,,,,,,,,,,,,,,,M,,,M
,2,,8:50:AM ,,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,,,,,UCS405L,,,,,,,,,,,,LAB,,,,,,,,,,,,UCS405T,,UCS405T,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS303L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,UCS301L,,,,,,,,,,,,LAB,,,,,,,,LAB,,LAB,,LAB,,,,,,,,,,,,,,UCT301T,,,,,,,2,8:50:AM ,
O,,,,,,,,,,,,,,,,,,,,DKS/RF8,,YAD-RA,,MDY-RA,,,,,,LT301,,,,,,,,,VSL,,,RF8/DKS,,,,,,,,,,,,F110,CHK-RA,F111,SNL-RA,,,TA13,,PTK-RA,,TA26,,SUB,,APC10/AMG,,LT302,,,,,,,,,JDN,,,,,,,,,,,,,,,,,,,,,,,SNH-RA,,LT303,,,,,,,,,KAP,,,RF3,,,,,,,,HRM-RA,,ISR-RA,,YSH-RA,,,,,,,,,,,,,,LP109,AKU,,,,,O,,,O
