,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE AUG TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TIME TABLE AUG TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE AUG TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,TIME TABLE AUG TO DEC 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR -B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,FIRST YEAR-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR-B,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRST YEAR-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOTECHNOLOGY ENGG,,,,,,,,BIOMEDICAL ENGG,,,,COMPUTER SCIENCE AND BUSINESS SYSTEMS,,,,,,,,,,,,,,,,,,
,,LECTURE,,1B1,,,,,,,,,,,,,,,,1B2,,,,,,,,,,,,,,,,1B3,,,,,,,,,,,,,,,,1B4,,,,,,,,,,1B5,,,,,,,,,,1B6,,,,,,,,,,1B7,,,,,,,,,,1B8,,,,,,,,,,1B9,,,,,,,,,,1G1,,,,,,,,1J1,,,,1R1,,,,,,1D1,,,,,,,,,,,,
,,TUTORIAL,,1B11,,1B12,,1B13,,1B14,,1B15,,1B16,,1B17,,1B18,,1B21,,1B22,,1B23,,1B24,,1B25,,1B26,,1B27,,1B28,,1B31,,1B32,,1B33,,1B34,,1B35,,1B36,,1B37,,1B38,,1B41,,1B42,,1B43,,1B44,,1B45,,1B51,,1B52,,1B53,,1B54,,1B55,,1B61,,1B62,,1B63,,1B64,,1B65,,1B71,,1B72,,1B73,,1B74,,1B75,,1B81,,1B82,,1B83,,1B84,,1B85,,1B91,,1B92,,1B93,,1B94,,1B95,,1G11,,1G12,,1G13,,1G14,,1J11,,,,1R11,,1R12,,1R13,,1D11,,1D12,,1D13,,1D14,,1D15,,,,
DAY,SR.NO,PRACTICAL,HOURS,1B1A,,1B1B,,1B1C,,1B1D,,1B1E,,1B1F,,1B1G,,1B1H,,1B2A,,1B2B,,1B2C,,1B2D,,1B2E,,1B2F,,1B2G,,1B2H,,1B3A,,1B3B,,1B3C,,1B3D,,1B3E,,1B3F,,1B3G,,1B3H,,1B4A,,1B4B,,1B4C,,1B4D,,1B4E,,1B5A,,1B5B,,1B5C,,1B5D,,1B5E,,1B6A,,1B6B,,1B6C,,1B6D,,1B6E,,1B7A,,1B7B,,1B7C,,1B7D,,1B7E,,1B8A,,1B8B,,1B8C,,1B8D,,1B8E,,1B9A,,1B9B,,1B9C,,1B9D,,1B9E,,1G1A,,1G1B,,1G1C,,1G1D,,1J1A,,,,1R1A,,1R1B,,1R1C,,1D1A,,1D1B,,1D1C,,1D1D,,1D1E,,DAY,SR.NO,HOURS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPH013T,,UPH013T,,UMA023T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES101P,,,,,,,,,,,,,,,,UPH014P,,,,,,,,,,,,`,,UPH013P,,,1,8:00 AM
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E312,LC38,E311,LC29,T303,TA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CED CAD(CD119),,,,,,,,,,,,,,,,G325,,,,,,,,,,,,,,G312,,M,,
,2,,8:50 AM,UES102L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPH013T,,,,,,,,,,,,,,UES102L,,,,,,,,,,UMA023T,,UMA023T,,UPH013T,,,,,,,,,,,,,,,,,,,,,,,,,,UES102L,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,LAB-3,,,,,,,,,,,,,,LAB,,,2,8:50 AM
O,,,,LT103,,,,,,,,,,,,,,,PKC,,,,,,,,,,,,,,,,,,,E311,LC21,,,,,,,,,,,,,LP104,,,,,,,,,RTK,E312,TA22,T303,TA14,T302,LC26,,,,,,,,,,,,,,,,,,,,,,,,,LP105,,,,,,,,,NF,,,,,,,RSF2,,,,,,,,,,,,,,,,LC15,,,,,,,,,,,,,,LC35,,O,,
,3,,9:40 AM,UMA023L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES101T,,UES101T,,,,,,UES101P,,,,,,UMA023L,,,,,,,,,,UPH013P,,UPH013P,,UPH013P,,,,,,UHU003P,,UHU003P,,UHU003P,,,,UMA023T,,,,,,,,UES101P,,,,UHU003L,,,,,,,,,,UHU003P,,UES101P,,,,,,UMA023T,,,,,,,,,,UPH015L,,,,UCT101L,,,,,,,,,,UES101T,,,,,,,3,9:40 AM
N,,,,LT103,,,,,,,,,,,,,,,JAT,,,,,,,,,,,,,,,,,,,F310,,F311,,,,,,MED CAD,,,,,,LP104,,,,,,,,,SYV,G325,,G312,,G310,,,,,,G317,,B223,,C309,,,,E312.,TA22,,,,,,,CAD-1(D112),,,,LP105,,,,,,,,,EF,B109,,CED CAD(CD119),,,,,,E313,TA36,,,,,,,,,E314,,,SOM,E108,,,,,SMA,,,,,F312,,,,,,N,,
,4,,10:30 AM,UPH013L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC7,,SBJ,,,,,,LAB-3,,,,,,UPH013L,,,,,,,,,,LAB-3,,LAB-1,,LAB-2,,,,,,LAB,,LAB,,LAB,,,,UPH013T,,,,,,,,LAB,,,,UPH013L,,,,,,,,,,LAB,,LAB,,,,,,UPH013T,,,,,,,,,,UBM001L,,,,UCT104L,,,,,,,,,,APC2,,,,UMA023T,,,4,10:30 AM
D,,,,LT103,,,,,,,,,,,,,,,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,RF4,,,,,,LP104,,,,,,,,,MKS,LC19,,LC11,,LC29,,,,,,LC9,,DKS,,LC7,,,,E306,LC15,,,,,,,AVS,,,,LP105,,,,,,,,,TKR,LC11,,RSF1,,,,,,E312,LC33,,,,,,,,,E301,,,DBD,E108,,,,,RKU,,,,,,,,,T303,TA36,D,,
,5,,11:20 AM,UES102P,,,,,,,,,,UHU003P,,UHU003P,,UHU003P,,,,,,,,,,,,,,,,,,,,,,UPH013T,,,,UPH013T,,,,,,UES101P,,UMA023T,,,,,,UMA023T,,UES101T,,UES101P,,UES101P,,,,,,,,UPH013L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMA023L,,,,,,,,,,,,,,,,,,UMA015L,,,,UPH014L,,,,,,UES101T,,UPH013P,,UPH013T,,,,UHU003P,,,5,11:20 AM
A,,,,W/SHOP,,,,,,,,,,B109,,C309,,B223,,,,,,,,,,,,,,,,,,,,,,E311,LC17,,,E312,LC33,,,,,CED CAD,,T302,TA26,,,,,T303,JAT,F311,,CAD-1,,CAD-2(D102),,,,,,,,LP104,,,,,,,,,SDT,,,,,,,,,,,,,,,,,,,,,LP105,,,,,,,,,SNA,,,,,,,,,E301,,,DG,E108,,,,,RKU,F310,,G310,,E306,LC31,,,G317,,A,,
,6,,12:10 PM,PKC,,,,,,,,,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB (CD119),,UPH013T,,,,,,UPH013T,,NDS,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES101L,,,,,,,,,,,,,,,,,,UMA015T,,,,,,,,,,MNK/APC9,,LAB,,,,,,LAB,,,6,12:10 PM
Y,,,,,,,,,,,,,,SAL,,LC1,,SPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APC-5,,E311,LC17,,,,,T303,MKS,,,SNL,,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP105,,,,,,,,,PTK,,,,,,,,,E301,,,DG,,,,,,,,,LC34,,,,,,LC8,,Y,,
,7,,1:00 PM,,,,,,,,,,,,,,,,,UMA023L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES101L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES101L,,,,,,,,,,,,,,UCT101T,,,,,,,,,,,,,,,7,1:00 PM
,,,,,,,,,,,,,,,,,,,,LT103,,,,,,,,,,,,,,,SSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP104,,,,,,,,,SCS,,,,,,,,,,,,,,,,,,,,,T105,,,,,,,TRN,,,,,,,E106,SMA,,,,,,,,,,,,,,,
