DAY,SR.NO,HOUR,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,ME -EV,,,,MCA 1st Year,,,,,,,,,,2MCA1,,,,,,,,1ME AI,,,,ME CSE 1st Year,,,,,,,,M.Tech. (EST),,MSC Ist Yr CHEM ,,,,MSc(PHY) 1,,,,MSc(PHY) 2,,MSc -Mathematics & Computing,,MSc -Mathematics & Computing,,M.E. CIVIL,,,,PG-MEE (Mechanical),,M.Tech. BTD,,MSC BTD 1st Year,,,,MSC BTD 2nd Year,,,,P.H.D,
,,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,MTECH VLSI     FIRST SEM,,1ST YEAR(EIED),,MTECH VLSI     ,,1MCA 1,,1MCA 2,,1MCA 3,,1MCA 4,,1MCA 5,,2MCA 1,,2MCA2,,2MCA3,,2MCA4,,1MEAI 1,,1MEAI 2,,1ME(CS)1,,1ME(CS)2,,1ME(CS)3,,1ME(CS)4,,,,MSC Ist Yr CHEM ,,MSC IInd Yr CHEM ,,G1,,,,G1,,1ST YEAR,,2ND YEAR,,M.E. STRUCTURES Ist SEM,,M.E. TRANSPORTATION Ist SEM,,,,M.Tech. 1 (BT),,MS 1(BT1),,MS 1(BT2),,MS 2(BT1),,MS 2(BT2),,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,E105,PAW,AKC,,NDH,,,,AKS-RA,,SUS,,,,LP106,,,,,,,VBH,MNS,,,,KAS,,SR,,SHV,,,,,,,,,,E314,,,SAK,E202,BCM,F211,PJS,,,E203,RSQ,D115,TNC,E201,DS,,,,,,,,,,,TA8,
,7,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1:50 PM,,,,,,,,,,,,,,,,,,,,,,,PEV103L,,,,MCA105L,,,,,,,,,,,,,,,,,,PAI106L,,,,,,,,,,,,,,,,PCY317P,,,,,,,,,,,,,,,,PCD106T,,,,PBT110P G1 ,,PBT113P G2 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,E105,MBK,,,LP106,,,,,,,SUB,,,,,,,,,,,LP108,,,SMR,,,,,,,,,,,,,G143,,,,,,PPH319P,,,,,,,,,,CAM Lab (H107),,,,,,,,,,,,,
,9,2:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL111L,,MCA109L,,,,,,,,,,,,,,,,,,PAI102L,,,,,,,,,,,,,,PCYXXXL,,LAB,,,,,,G319,RKU,PMC L,,PMA304L,,,,,,DS,,,,,,,,,PBT314L/PBT315L,,,DMC007L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,RS,LP106,,,,,,,ASK,,,,,,,,,,,LP108,,,AMT,,,,,,,,,,,T202,BG,TA6,,,,,,,,F211,YK,F212,AK,,,,,,,,,,,,,F307/F306,,,PD/DD,F105,VJK
,10,3:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL204L,,MCA102L,,,,,,,,,,MCA214L/MCA306L,,,,,,,,,,,,,,,,,,,,PMA102P,,PCYXXXL,,,,PHY103L,,,,,,PYTHON P,,PMC303P,,PCE104P,,PTE104T,,PCD216L,,PMA102P ,,Micro Lab,DG ,Biochem Lab,SS,PBT301P G1 ,,PBT304P G2 ,,DMC013L/DMC016L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,GPK,LP106,,,,,,,KUC,,,LP105/LP109,,,,,,,VJY/MNK,,,,,,,,,,,,,G204,,T202,AAL,,,E314,,,LKB,,,NA2(G204),,GC2(L107),,STR LAB (D122),,E204,,E201,DK,,,,,,,,,,,F105/F307,RJD/NB
,11,4:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL113L,,MCA302L,,,,,,,,,,MCA203L,,,,,,,,,,,,,,,,,,,,LAB,,,,,,PHO002T,,,,,,LAB,,LAB,,RSQ,,RP,,PCD216T,,G204,JPR,,,,,Mol Bio Lab,SDS,Micro Lab,MVR ,,
